order_id,unit_price,quantity
1082,171.82,29
509,157.71,15
317,34.65,44
224,188.59,47
1436,131.23,49
1833,94.18,36
1592,12.71,51
258,50.35,59
77,130.87,20
1972,29.95,17
1082,129.08,45
1565,26.87,5
616,107.27,38
393,80.68,15
1619,122.21,1
1101,63.8,30
571,191.99,42
1720,177.34,31
1078,50.78,16
60,192.32,46
1331,64.94,2
398,102.17,44
1326,86.9,17
467,135.13,60
759,49.22,3
1426,70.92,27
743,138.1,13
14,160.43,48
1731,103.45,14
1016,194.12,20
1569,164.9,15
953,48.18,49
1822,62.51,40
1016,123.97,58
458,99.59,59
1363,16.0,39
300,184.78,4
437,9.61,39
291,86.0,46
124,40.9,29
1840,143.85,21
1501,27.08,6
1908,37.3,13
380,132.23,34
1529,96.19,20
1361,146.45,54
766,197.07,29
347,26.25,6
574,20.75,27
1957,177.61,36
1975,152.97,25
731,154.9,20
1684,161.77,6
101,142.53,13
764,110.6,29
396,68.05,48
1838,97.53,41
842,53.36,41
1571,83.93,25
72,95.49,52
1885,17.09,13
1531,17.26,39
695,75.78,22
1962,190.98,3
537,150.56,45
649,185.22,20
8,145.71,39
1877,162.1,5
50,166.07,7
974,144.54,30
1954,156.39,51
515,183.14,53
1011,30.88,32
375,6.7,60
1513,64.15,45
1583,34.51,16
672,172.94,30
742,157.85,39
162,104.82,26
1542,36.19,27
133,131.66,31
1132,111.2,11
874,177.28,5
543,126.8,14
198,87.11,46
1991,92.16,15
273,86.28,40
1826,136.45,48
1103,170.16,43
1556,28.63,54
602,62.29,37
549,77.73,48
534,43.84,16
381,52.84,10
577,177.41,38
386,68.64,26
516,198.53,33
1078,50.12,52
206,132.4,3
210,5.88,57
1678,50.07,29
1873,77.91,57
602,50.41,4
389,122.1,53
1195,42.86,5
763,104.97,12
920,122.59,50
1593,134.63,1
217,129.3,46
1270,73.19,3
756,71.3,3
418,199.98,3
1228,147.78,59
417,163.88,53
671,84.75,24
380,126.1,5
417,11.14,32
1123,99.28,27
208,160.19,43
1127,35.14,35
187,132.35,26
1425,57.88,19
1368,64.98,4
640,150.34,57
732,85.75,2
1770,154.5,52
746,130.67,26
1492,83.97,1
890,180.82,28
233,164.97,26
1184,177.15,30
1584,36.7,1
106,112.55,42
1652,182.41,6
1174,126.33,24
1510,103.37,10
713,60.24,34
352,185.47,7
786,100.65,52
1623,193.54,13
618,29.7,3
1998,183.0,21
110,123.49,41
795,21.83,46
1271,139.2,58
329,129.86,55
455,126.11,40
1734,43.24,31
375,115.26,3
819,188.02,11
786,75.05,10
506,194.28,53
1838,42.56,57
1152,169.28,44
79,135.24,21
242,81.02,30
1127,170.56,50
628,131.56,20
1194,53.61,25
1350,76.65,33
898,39.86,1
1268,197.3,30
482,92.13,40
1598,164.7,54
368,163.05,26
220,18.09,23
882,76.24,52
906,103.35,43
84,12.93,9
169,184.81,21
1593,145.48,6
112,151.65,58
774,132.29,51
279,10.04,5
1258,147.76,53
225,42.77,57
1008,61.14,52
1877,160.02,44
1615,145.61,15
135,167.44,40
1549,54.18,21
1837,124.64,58
1671,94.0,17
1029,193.04,31
427,120.42,40
1037,51.29,24
76,43.79,26
331,129.13,18
1392,68.93,25
346,159.46,17
236,154.81,4
1304,172.37,56
928,113.26,38
1411,177.09,7
517,198.63,41
1755,81.88,52
761,56.63,24
1183,33.51,22
1566,20.87,15
362,125.0,4
607,164.87,17
636,129.65,56
1200,186.05,58
641,147.94,48
70,48.22,19
1262,127.0,27
1050,76.0,4
271,100.24,40
1338,13.89,4
6,115.59,20
218,107.0,35
460,85.58,20
1207,31.08,24
1278,166.55,11
276,7.75,52
499,142.96,29
197,17.42,10
1785,134.77,18
824,163.26,1
115,130.76,36
1829,73.31,42
1185,91.53,60
1061,148.04,16
339,181.18,3
127,108.65,26
381,51.35,4
1868,156.88,1
1255,112.43,13
292,85.57,34
1246,130.33,42
1314,85.97,40
358,104.17,5
615,127.06,57
1484,157.68,46
1103,6.24,55
895,150.31,30
165,149.64,29
360,49.06,7
536,50.3,3
253,70.43,48
1895,140.55,55
540,143.78,18
1303,112.99,28
1405,158.75,34
1991,56.73,42
1902,193.2,14
175,176.61,1
348,55.77,16
1724,150.06,11
1529,183.42,13
1803,80.8,39
490,78.99,55
1292,184.73,43
1724,195.91,31
967,168.74,45
14,172.22,28
1958,146.3,37
1812,65.01,14
802,126.41,5
1158,182.6,10
68,10.25,7
1274,186.15,23
291,141.64,2
86,31.99,42
1299,13.32,5
1509,14.1,55
1210,153.54,13
1675,191.14,35
1826,134.51,57
1778,152.38,46
1934,79.85,16
422,44.62,3
71,190.1,59
1664,151.98,6
1690,151.53,41
589,98.04,9
201,159.43,42
420,62.42,22
868,55.93,23
526,186.37,4
1466,153.17,59
658,155.0,39
1032,97.84,19
1267,150.4,51
846,11.09,34
1584,24.17,31
1444,14.38,37
444,144.31,53
187,117.04,19
349,90.03,34
414,61.23,49
111,5.85,32
196,100.84,51
1691,40.98,32
1214,72.7,54
1056,55.81,11
582,163.97,45
475,102.17,8
1923,129.12,6
1005,158.64,45
1150,158.45,41
669,74.35,26
1902,81.95,57
1527,21.8,57
1323,9.91,14
621,56.32,58
1117,102.73,25
1811,128.0,30
260,108.65,49
1412,151.83,42
70,72.95,21
1069,35.29,54
923,134.11,48
663,38.06,29
1412,155.82,38
474,29.58,30
1317,177.6,16
1040,42.36,20
1546,142.12,54
1265,35.15,10
1997,53.28,21
1235,106.82,11
484,68.97,13
530,195.15,47
209,37.1,43
209,43.11,10
304,160.0,47
610,89.81,13
224,129.41,7
576,45.26,25
951,11.62,26
1750,159.25,45
456,102.59,41
607,95.34,10
527,122.72,26
12,149.48,59
1747,88.86,37
1204,151.07,27
1733,49.57,47
1337,176.62,50
1315,141.52,55
469,137.52,42
255,93.51,21
533,127.51,7
1833,86.82,51
820,144.06,41
321,53.76,28
989,93.76,40
1759,84.82,44
1354,186.39,12
1832,132.63,50
22,80.8,32
1860,195.05,3
515,110.96,11
1467,157.45,13
1064,72.9,55
1177,94.07,14
1470,97.77,2
1310,159.55,24
1069,71.86,48
1942,94.1,44
377,81.54,49
1911,28.87,40
729,129.33,17
562,79.46,4
28,19.66,59
862,127.57,44
722,118.13,7
460,64.18,26
1925,190.95,15
1642,192.37,30
435,37.08,60
1591,18.43,52
1300,42.67,42
1152,145.54,53
1974,33.52,43
1309,166.99,51
1672,85.59,19
1557,111.91,9
1598,167.58,23
1605,170.88,18
1443,78.35,17
873,137.37,31
6,162.06,52
576,74.81,42
619,67.46,32
878,126.56,6
1351,179.92,10
1903,64.12,25
117,21.63,37
1856,68.32,9
1087,167.11,41
1193,7.92,1
430,190.59,42
601,53.76,7
1185,32.83,15
381,156.38,23
1608,34.77,58
825,159.38,11
1249,178.77,39
1601,22.63,58
1831,111.96,41
1718,62.92,32
1419,46.55,6
1520,168.66,43
1808,27.81,8
542,86.71,53
286,97.28,36
120,99.45,58
296,141.58,16
1021,37.1,39
1768,148.24,11
1722,67.53,45
1153,102.03,19
1722,95.82,28
858,199.99,44
155,40.2,24
1303,131.07,2
1249,13.94,48
1908,199.8,52
193,104.57,32
1551,180.02,3
437,145.05,41
260,71.03,56
1350,76.4,31
1595,107.48,50
1869,46.09,28
701,87.37,36
108,166.21,19
728,166.41,26
684,103.23,18
1788,103.75,14
1341,100.98,8
678,42.5,46
613,29.88,41
180,157.92,3
817,145.92,57
832,111.35,4
817,63.58,1
96,42.04,59
973,123.69,43
124,158.86,59
1114,124.29,40
302,127.23,45
1412,121.28,44
170,46.44,43
1298,94.29,49
357,24.77,12
1781,12.21,50
207,183.25,42
28,76.93,53
285,158.38,36
1455,55.31,20
379,87.25,21
42,88.98,42
1185,187.1,4
1020,115.66,3
1690,28.18,52
863,117.19,59
829,92.06,1
1393,80.49,38
1921,133.58,10
974,155.13,36
209,21.17,31
435,179.68,41
32,88.26,1
1401,135.53,55
181,47.56,8
265,97.1,18
1474,115.95,29
1503,150.12,60
103,76.35,48
1462,140.49,10
1495,153.07,19
1288,113.71,32
944,135.56,57
521,183.14,4
1469,11.23,4
31,177.25,44
1674,125.55,25
638,65.94,39
340,191.75,54
997,123.74,21
753,190.01,47
899,96.61,11
297,193.44,8
744,191.01,11
1290,161.36,31
790,156.73,29
1936,58.04,49
1161,70.11,18
125,126.26,42
1441,161.38,39
681,174.56,47
32,167.1,39
1706,65.18,28
2000,178.18,25
794,138.54,39
1580,179.74,52
925,60.25,1
659,56.29,28
323,119.4,53
1564,178.05,3
591,167.48,52
1824,174.11,37
302,58.4,55
1633,162.37,44
1592,183.18,23
1095,21.59,36
993,160.49,13
1614,151.29,60
480,65.35,4
1388,82.12,46
424,185.57,38
1539,6.83,25
942,110.41,35
1652,74.25,5
477,82.65,34
1837,55.61,54
1069,67.59,33
1207,44.36,14
394,22.98,52
1436,61.51,37
1156,74.98,50
1060,172.11,16
92,184.91,32
767,173.94,24
1296,95.37,6
320,66.58,2
707,59.71,39
43,23.35,14
1784,173.89,32
1202,115.6,17
1896,156.94,28
199,189.57,50
1215,164.67,9
521,169.53,22
412,198.95,25
172,10.37,3
1142,77.08,46
939,99.93,55
1864,179.49,56
1225,129.77,60
246,142.74,6
527,67.15,15
1313,22.51,59
1372,103.77,12
919,170.69,24
1978,50.85,47
455,38.56,17
1928,73.64,58
1133,181.39,54
1883,14.17,51
1052,143.37,42
1560,197.16,4
207,33.24,49
12,188.18,44
1533,63.26,38
904,152.79,7
965,68.16,17
799,29.21,31
778,37.87,16
1654,32.91,44
1828,7.46,46
1869,43.05,3
322,185.9,15
160,187.13,56
765,178.3,9
1594,92.21,7
1897,186.11,54
45,127.53,29
1992,71.26,53
479,98.12,41
750,32.84,15
1508,16.06,46
925,112.91,10
900,174.79,18
857,85.3,10
53,57.87,54
608,70.23,11
534,100.75,21
935,181.12,8
315,195.83,4
1293,179.53,43
1895,46.18,31
1711,60.82,17
1546,44.32,24
885,198.25,16
1895,51.44,25
593,86.05,11
118,167.3,19
296,195.83,2
906,162.37,22
1047,32.33,1
1618,167.29,34
587,41.24,28
84,182.84,14
567,116.41,9
1728,40.13,50
472,143.77,13
1231,20.46,6
1822,123.67,32
1560,58.41,14
281,124.42,46
1288,163.26,38
631,44.45,5
1418,147.88,27
1723,145.72,4
1062,163.08,22
578,169.17,56
1937,101.14,1
839,182.49,31
273,175.04,18
509,41.28,54
752,12.15,45
761,117.11,55
10,74.45,60
913,193.9,5
248,74.56,16
1673,166.86,59
658,156.93,56
782,117.38,58
126,61.85,7
1954,147.53,29
1052,10.0,52
1101,31.2,16
1982,22.27,40
374,37.74,20
513,113.3,2
40,23.81,45
1513,43.04,2
1715,121.88,37
951,106.97,45
910,25.06,56
193,144.83,3
560,28.99,32
1200,102.65,18
226,28.8,26
1812,31.71,38
466,172.91,10
1370,116.7,48
813,37.04,53
38,187.83,25
1422,86.99,54
1235,107.5,26
1988,188.55,50
744,71.02,16
1718,70.34,28
1727,196.34,52
1870,67.52,26
1736,114.41,21
1060,33.59,44
1914,73.92,56
865,134.31,1
747,26.26,12
142,68.25,13
1034,135.48,15
286,87.04,26
1591,199.51,30
1297,14.12,57
1994,177.51,3
1773,130.11,18
1880,137.3,18
1287,110.74,60
74,126.15,17
250,106.46,28
485,190.42,19
232,64.56,42
342,28.47,39
1965,191.44,33
1847,57.34,30
1209,109.1,10
902,29.16,9
1813,62.25,27
1183,61.22,16
1508,22.13,35
589,168.75,40
1424,116.18,42
792,44.23,46
752,94.87,36
622,124.5,31
1677,65.55,16
684,48.21,33
1119,79.72,38
812,7.32,23
333,173.06,16
664,113.55,32
553,60.54,14
606,16.1,2
325,112.47,39
1785,72.86,43
128,105.81,54
901,74.05,49
224,106.58,44
1513,187.12,27
691,135.31,9
1384,44.49,40
1741,58.97,54
1061,23.54,55
1523,184.8,31
551,158.06,46
1295,183.37,9
846,174.81,1
841,154.31,38
241,102.09,37
307,86.49,51
573,175.19,39
228,79.01,29
1419,94.29,47
723,62.12,26
1078,113.29,25
1328,67.79,51
1528,170.67,32
780,91.59,12
1100,64.29,10
893,117.21,38
476,22.15,59
677,68.15,54
1246,168.44,21
419,194.56,58
1865,191.4,2
98,55.03,58
1019,63.46,35
1585,65.92,40
896,105.9,34
1490,138.62,25
951,74.75,39
1385,73.47,1
1386,18.31,15
203,84.86,33
822,131.46,60
1176,35.07,13
1976,87.14,26
902,154.63,58
1204,71.94,34
1529,164.1,11
743,67.03,5
1692,65.57,12
227,132.91,19
1413,71.95,60
1043,178.19,27
1293,35.5,19
1672,104.76,33
1830,41.68,12
124,127.87,39
219,73.87,41
1304,145.96,45
843,7.09,1
629,143.57,36
9,183.82,26
1725,24.21,1
1369,10.76,12
1020,154.95,37
545,174.87,58
1089,105.3,10
1177,43.72,39
249,33.34,34
1556,104.35,2
206,19.85,34
1005,165.51,40
882,162.29,4
1332,7.44,50
1186,67.95,46
488,74.0,11
68,56.99,7
1760,181.25,38
130,73.03,29
1278,80.2,4
451,178.66,38
1565,192.12,29
112,125.93,16
457,13.58,60
1203,171.67,21
13,180.28,53
933,64.22,39
517,192.21,32
1946,18.17,44
799,136.61,38
454,85.63,26
1793,143.8,2
1624,174.3,6
356,38.14,25
383,6.49,57
596,82.23,24
236,70.33,56
790,70.5,42
135,192.44,28
1692,183.03,36
502,80.54,30
581,72.17,28
72,59.43,2
700,161.95,16
1446,30.32,13
553,111.25,51
262,113.22,30
1713,160.01,16
327,76.74,14
1480,84.0,41
1963,118.24,20
1948,97.81,14
466,172.39,44
269,188.71,17
1221,180.43,38
754,109.26,26
1246,104.49,9
1787,151.38,44
1051,22.84,55
554,148.51,49
789,10.6,46
1163,33.29,1
799,143.59,45
363,156.35,15
658,41.72,58
224,18.28,59
741,162.01,49
609,42.6,46
638,22.15,19
259,164.28,26
579,74.4,55
1862,95.57,41
1808,127.58,56
271,187.66,12
61,76.48,52
1360,139.74,58
845,9.93,46
1433,95.2,55
821,73.66,41
201,40.42,8
555,182.97,47
449,143.95,3
829,12.8,11
883,43.63,20
320,79.24,3
1132,65.63,41
1929,40.04,54
467,116.18,46
1067,54.67,28
1373,138.44,23
1917,5.19,54
1565,156.41,19
1846,13.38,55
1199,123.44,4
1996,52.67,8
77,159.33,14
1592,183.32,48
1872,21.8,45
1524,81.76,48
1261,166.6,18
1080,22.54,28
907,186.39,45
1031,149.03,54
1719,127.48,29
1042,15.59,45
422,88.53,33
1734,185.99,9
1003,153.57,3
1951,142.03,52
1146,55.93,35
336,194.04,41
484,111.07,16
1974,16.58,23
712,85.27,13
1304,65.56,9
1406,142.86,43
989,51.39,16
13,105.5,29
273,187.49,23
1430,63.38,57
1450,32.67,37
494,70.05,53
242,111.91,49
1928,38.0,43
318,121.74,30
1720,154.4,54
423,27.32,19
26,75.29,14
89,16.76,18
623,43.44,45
633,92.36,8
331,68.27,30
1166,75.78,11
1142,19.0,1
960,198.46,49
995,21.37,46
680,196.14,37
542,26.22,32
1960,89.68,13
1606,110.9,1
736,184.31,42
586,127.41,60
1497,132.26,17
1338,52.97,9
1531,10.4,50
810,168.72,19
754,41.22,41
1077,169.92,60
1397,37.85,51
1473,166.93,48
1264,68.7,12
1326,165.94,21
472,76.86,36
1884,77.01,54
520,51.68,3
220,115.54,41
1887,164.85,46
826,181.51,14
1013,87.48,47
323,199.15,39
1191,127.17,10
1409,49.36,9
908,129.17,26
184,195.91,55
901,98.48,14
1481,77.64,3
1723,124.09,54
1612,104.7,10
581,19.04,4
1054,143.6,57
694,17.23,1
1365,191.42,12
1852,146.33,25
606,5.82,52
1154,136.68,37
401,96.42,35
663,105.77,28
1990,109.27,41
1773,35.1,26
1970,123.77,6
1662,162.89,47
1386,69.65,43
609,115.18,27
1952,76.88,43
1326,31.69,56
704,108.43,41
58,170.38,15
1390,149.24,45
175,33.65,38
762,113.2,27
738,108.35,37
904,82.29,8
466,40.2,57
416,111.88,8
454,173.12,17
1331,23.52,34
1373,54.05,32
465,113.03,15
1109,116.68,8
1507,105.07,38
1161,20.64,27
1392,19.33,29
276,173.38,36
1039,144.35,49
1942,27.35,47
1056,24.91,54
1405,81.43,11
1983,192.21,37
974,156.12,9
765,156.35,4
829,51.2,24
86,7.96,39
1958,46.56,20
247,142.95,28
1861,178.28,40
1787,44.31,8
1880,147.0,23
345,76.56,54
700,161.8,48
1394,7.27,17
252,51.66,33
1510,107.32,23
1479,100.35,53
1237,73.92,23
1125,68.84,39
232,11.66,59
1383,52.28,23
396,140.32,2
1717,197.8,29
233,159.28,32
227,19.38,17
380,34.3,60
594,175.38,43
780,168.06,38
1793,53.8,45
1560,162.6,29
29,9.83,10
998,102.85,56
65,161.09,3
153,40.55,53
1321,137.5,26
1727,97.77,11
1420,169.8,26
470,175.24,40
1059,19.8,22
1082,47.18,58
269,119.9,3
433,38.1,24
1490,96.21,37
960,80.64,23
644,6.17,38
991,70.09,2
510,94.58,39
93,128.02,47
1375,33.01,25
560,17.38,17
731,115.95,34
1197,191.61,45
70,183.44,58
1579,23.57,13
1586,88.12,37
1300,24.3,51
577,159.64,16
1788,160.36,10
1396,19.05,49
700,149.21,33
1748,128.87,23
1788,112.39,26
685,16.79,22
1376,68.02,51
987,103.23,58
499,162.8,23
309,31.45,1
1821,174.84,30
830,91.88,37
1582,63.97,11
1202,17.93,20
1475,65.16,47
1172,112.5,60
1978,71.39,59
390,118.75,6
1198,39.85,38
724,197.56,23
1988,156.02,28
1478,174.32,5
1718,99.48,58
359,58.8,17
1120,9.5,11
1283,57.27,46
42,47.57,26
918,44.07,39
579,173.49,42
204,43.36,47
117,192.81,39
100,20.47,52
1672,175.73,22
1473,31.65,13
555,109.7,57
31,129.78,60
57,46.38,21
1778,151.12,42
996,84.04,44
1640,70.87,4
1769,85.78,3
179,127.13,22
1590,101.4,39
819,55.12,30
1789,7.65,60
649,115.01,21
115,85.95,46
1484,167.81,11
192,8.63,14
293,108.25,54
185,74.78,24
867,72.1,44
1206,173.85,10
1347,196.37,37
678,49.85,40
529,163.62,31
1564,11.17,42
634,132.07,36
1447,93.37,18
741,107.05,18
271,54.32,36
975,24.46,52
1586,195.49,10
1288,49.49,49
185,187.71,40
275,28.83,35
1028,44.96,50
373,55.53,39
749,148.83,58
364,174.81,55
1888,156.92,34
60,73.41,46
497,91.1,56
1022,46.56,59
705,180.7,25
943,46.36,51
1851,10.16,43
1502,8.01,52
1322,183.16,44
1770,73.38,15
1156,78.32,59
1883,78.24,43
1285,172.77,2
516,9.05,46
889,52.16,23
417,68.58,28
1317,59.34,57
1022,47.24,37
1620,35.56,56
1913,174.51,18
1955,151.55,53
615,60.1,22
9,99.68,58
512,36.51,44
1250,121.53,29
435,117.95,57
1602,45.91,57
1507,75.27,50
1586,173.35,12
891,173.47,60
610,138.61,52
229,34.63,59
20,31.01,20
309,103.01,23
200,151.5,30
1399,82.45,27
696,130.22,43
1468,82.35,22
1833,11.42,16
413,159.46,45
32,12.39,33
1219,50.17,28
1431,25.45,2
99,198.2,21
133,176.32,8
1961,100.03,9
1077,88.55,12
459,138.65,10
1297,148.95,33
231,108.34,54
1017,191.66,5
716,194.25,55
1982,194.55,15
1498,19.12,46
363,7.97,18
142,193.43,13
1042,14.33,51
1140,190.63,18
22,68.51,3
1338,93.48,19
1124,69.5,27
1791,150.33,18
818,87.28,35
859,79.68,10
793,153.39,57
840,161.73,58
1301,6.02,39
1027,185.63,17
1421,124.13,25
494,165.98,43
238,21.93,40
1606,11.56,46
102,84.13,36
665,138.55,29
1125,135.26,30
1990,117.65,31
1529,131.23,31
1045,71.76,35
779,50.71,41
1621,149.94,25
728,143.87,26
1999,107.62,40
1351,137.05,21
148,127.64,35
1361,48.54,40
1568,56.66,59
1723,97.29,47
713,106.8,31
1169,48.14,10
135,185.83,34
746,107.17,34
347,163.6,16
1380,38.61,53
1356,94.76,41
1941,166.35,58
1336,174.22,3
660,79.35,54
1769,164.47,8
840,35.0,17
769,25.05,23
1358,161.63,34
620,93.3,6
564,82.13,29
1424,26.8,41
980,147.48,12
1555,105.88,1
1394,30.45,32
1067,133.75,40
760,107.06,52
781,54.31,36
412,5.16,17
119,120.17,20
1471,111.21,59
664,54.85,17
1709,90.42,34
1303,101.21,6
414,30.02,51
595,125.48,24
1886,13.56,29
770,76.6,46
1543,62.57,27
883,131.4,52
526,73.71,25
1741,117.85,60
1267,42.36,55
1458,118.14,5
1364,44.61,56
145,20.59,29
778,81.69,27
1018,187.47,42
1551,159.37,7
1215,114.88,60
947,141.68,28
850,199.01,12
1824,17.69,26
1007,31.38,49
1689,6.85,15
1517,44.05,35
84,185.53,19
1135,69.38,25
1577,94.68,6
453,170.34,37
1675,8.02,32
181,170.39,14
1156,93.58,53
1395,43.97,22
989,173.28,36
1416,150.85,54
1196,32.34,27
1673,14.77,41
299,67.5,13
1062,196.53,12
1104,58.56,17
178,66.04,17
1360,172.48,36
809,104.64,27
1395,14.97,20
509,174.02,52
894,172.05,17
625,44.39,4
425,109.69,24
1910,95.52,32
1454,118.84,24
1906,161.28,13
935,184.28,36
1360,14.98,21
18,108.95,27
1949,115.16,21
73,58.34,51
900,61.85,46
429,161.48,38
1251,93.65,60
1491,91.75,57
417,16.25,28
1758,129.66,4
281,173.21,5
1668,121.28,12
30,184.87,36
1510,161.14,32
453,136.4,44
1534,62.5,14
1095,168.47,10
1593,183.98,14
1058,24.67,7
413,157.93,4
850,48.64,54
528,142.71,29
1405,87.79,56
117,185.15,9
86,36.23,29
602,152.84,56
1193,160.46,46
1149,145.27,20
1868,55.32,36
1723,46.84,52
1363,196.12,26
1996,11.42,25
320,129.95,15
1342,111.42,6
406,95.57,47
377,88.82,44
823,27.3,54
721,28.81,60
432,199.25,34
1078,19.22,32
713,8.47,51
1017,178.43,59
191,44.1,18
1770,64.08,38
1108,152.47,13
287,96.74,50
1829,154.19,58
466,117.86,20
67,118.12,7
1982,5.26,13
1935,34.68,20
103,38.54,23
921,98.8,22
1521,75.99,8
1614,167.25,52
143,146.12,30
196,150.66,8
1614,36.47,26
945,12.0,3
1052,117.95,27
1325,140.82,27
1184,168.25,5
768,146.89,47
336,75.09,43
1929,22.56,1
1726,130.73,54
984,64.16,17
193,25.77,16
240,34.85,18
1098,110.5,21
959,52.96,37
1097,13.2,17
752,190.13,19
827,113.28,9
1861,51.78,56
1096,102.85,57
195,7.95,4
1001,159.38,45
1169,46.13,48
470,21.97,11
315,169.01,2
869,81.69,34
